Day,Max Temperature,Min Temperature
206,14.7,9
207,13.3,9.2
208,14.5,7.7
209,11.1,8
210,13.1,6.1
211,13.7,3.5
212,14.6,3.2
213,12.9,5.7
214,12.8,7.7
215,15.2,9
216,14.5,10
217,17.2,6.2
218,14.5,6.9
219,14.4,6.5
220,11,6.8
221,13.1,7
222,13.6,5.2
223,14.6,3
224,12.7,5.6
225,13.6,7.9
226,12.7,9
227,15.5,8.6
228,17.4,10.3
229,15.2,10.5
230,14.2,7.6
231,17.7,9.7
232,19.2,12.5
233,12.5,7.4
234,14.2,7.9
235,15.3,3.9
236,15.7,6.6
237,17,4.6
238,19,7
239,13.1,6
240,13.2,5.5
241,13.2,8.1
242,15.7,5.5
243,14.1,6.2
244,15.6,8
245,15.5,10.3
246,15.9,9.8
247,15.1,9.6
248,16,8.5
249,19.4,7.5
250,21.5,11.2
251,23.7,14.6
252,18.7,11.7
253,23.8,7.8
254,18,12.3
255,16.2,10.1
256,18.5,11.5
257,20.6,7.3
258,18.3,10.9
259,22.5,14.1
260,26.9,10.7
261,19.4,16.9
262,15.9,10.5
263,20.5,6.5
264,21.2,11
265,19.5,6.3
266,14.7,10.5
267,17.6,7.2
268,15.8,7.6
269,17.7,10.7
270,14.3,7.8
271,16.8,9.6
272,18.6,11.4
273,21.9,12.4
274,21.4,8.9
275,20.8,13.2
276,14,8.6
277,17,6.2
278,23,11.4
279,26.4,13.2
280,19.6,14.3
281,22.7,7.3
282,26.9,12.9
283,14.7,7.8
284,15.2,6.2
285,19.8,5.6
286,26.9,10
287,20.2,13.3
288,14.3,8.3
289,14.8,10.2
290,18.5,8.6
291,21.7,7.3
292,21.4,10.4
293,21.8,11.2
294,18.2,13.2
295,15.8,11.4
296,15.3,9.1
297,18.5,6.6
298,19.2,8.4
299,28.5,9.7
300,32.2,13.2
301,21.8,12.5
302,22.1,11
303,20.7,11
304,17,11.7
305,24.7,9.2
306,26.2,11.5
307,29,13.6
308,21.6,13.7
309,17.1,10.4
310,16.9,11.5
311,19.1,7.6
312,24.7,9.6
313,25.4,14.2
314,19.8,15.7
315,18.2,10.5
316,16.3,10.5
317,17,9.7
318,17.7,9.5
319,15.5,11.3
320,14.7,8.9
321,15.8,9.4
322,19.9,11.9
323,20.4,11.7
324,23.3,13.4
325,20.2,12.6
326,28.8,10.1
327,31.2,15.8
328,17.4,13.6
329,18.5,11.9
330,26.8,9.9
331,34.3,12.6
332,30.1,17.8
333,20.5,15
334,20.5,13.6
335,19.8,13.4
336,27,10.5
337,21,14.2
338,33,11.5
339,22.6,13
340,28.3,15
341,21.1,14.7
342,19,12.6
343,17.3,12.5
344,27,13.5
345,30.2,14.8
346,24.8,17.2
347,17.9,9.7
348,17.9,12.1
349,20.7,12.8
350,30.9,11.2
351,36.2,16.4
352,21,15.6
353,20.2,13.3
354,21.3,11
355,24.2,11.1
356,21,15
357,20.7,12.8
358,17.8,15
359,19.6,14.2
360,22.6,14
361,20.5,15.5
362,24.1,13.3
363,22.2,15.6
364,27,15.2
365,33.6,17.4
