Description,Date,F.13-17,F.18-24,F.25-34,F.35-44,F.45-54,F.55-64,F.65+,M.13-17,M.18-24,M.25-34,M.35-44,M.45-54,M.55-64,M.65+,U.35-44,U.45-54
,3/24/13,1,13,5,6,3,1,1,2,81,26,6,1,1,2,1,1
,3/25/13,1,13,5,6,3,1,1,2,82,26,6,1,1,2,1,1
,3/26/13,1,13,5,6,3,1,1,2,82,26,6,1,1,2,1,1
,3/27/13,1,13,5,6,3,1,1,2,82,26,6,1,1,2,1,1
,3/28/13,1,13,5,6,3,1,1,2,83,26,6,1,1,2,1,1
,3/29/13,1,13,5,6,3,1,1,2,83,26,6,1,1,2,1,1
,3/30/13,1,14,5,6,3,1,1,2,83,27,6,1,1,2,1,1
,3/31/13,1,14,5,6,3,1,1,2,83,27,6,1,1,2,1,1
,4/1/13,1,14,5,6,3,1,1,2,83,27,6,1,1,2,1,1
,4/2/13,1,14,5,6,3,1,1,2,83,27,6,1,1,2,1,1
,4/3/13,1,14,5,6,3,1,1,2,83,27,6,2,1,2,1,1
,4/4/13,1,14,5,6,3,1,1,2,83,27,6,2,1,2,1,1
,4/5/13,1,14,5,6,3,1,1,2,83,27,6,2,1,2,1,1
,4/6/13,1,14,5,6,3,1,1,2,84,27,6,2,1,2,1,1
,4/7/13,1,14,5,6,3,1,1,2,85,27,6,2,1,2,1,1
,4/8/13,1,14,5,6,3,1,1,2,86,27,6,2,1,2,1,1
,4/9/13,1,14,5,6,3,1,1,2,88,27,6,2,1,2,1,1
,4/10/13,1,14,5,6,3,1,1,2,88,27,6,3,1,3,1,1
,4/11/13,1,15,5,6,3,1,1,3,88,27,6,3,1,3,1,1
,4/12/13,1,15,5,6,3,1,1,3,88,27,6,3,1,3,1,1
,4/13/13,1,15,5,6,3,1,1,3,88,27,6,3,1,3,1,1
,4/14/13,1,15,5,6,3,1,1,3,89,27,6,3,1,3,1,1
,4/15/13,1,15,5,6,3,1,1,3,89,27,6,3,1,3,1,1
,4/16/13,1,15,5,6,3,1,1,3,89,27,6,3,1,3,1,1
,4/17/13,1,15,5,7,3,1,1,3,89,27,6,3,1,3,1,1
,4/18/13,1,15,5,7,3,1,1,3,88,28,6,3,1,3,1,1
,4/19/13,1,15,5,7,3,1,1,3,88,28,6,3,1,3,1,1
,4/20/13,1,15,5,7,3,1,1,3,88,28,6,3,1,3,1,1
,4/21/13,1,15,5,7,3,1,1,3,88,28,6,3,1,3,1,1
,4/22/13,1,15,5,7,3,1,1,3,88,28,6,3,1,3,1,1
,4/23/13,1,15,5,7,3,1,1,3,89,28,6,3,1,3,1,1
,4/24/13,1,15,5,7,3,1,1,3,89,28,6,3,1,3,1,1
,4/25/13,1,15,5,7,3,1,1,3,89,29,6,3,1,3,1,1
,4/26/13,1,15,5,7,3,1,1,3,89,29,6,3,1,3,1,1
,4/27/13,1,15,5,7,3,1,1,3,89,29,6,3,1,3,1,1
,4/28/13,1,15,5,7,3,1,1,3,89,29,6,3,1,3,1,1
,4/29/13,1,15,5,7,3,1,1,3,90,29,6,3,1,3,1,1
,4/30/13,1,15,5,7,3,1,1,3,90,29,6,3,1,3,1,1
,5/1/13,1,15,5,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/2/13,1,15,5,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/3/13,1,15,5,7,3,1,1,3,90,29,6,3,1,3,1,1
,5/4/13,1,15,5,7,3,1,1,3,90,29,6,3,1,3,1,1
,5/5/13,1,15,5,7,3,1,1,3,90,29,6,3,1,3,1,1
,5/6/13,1,15,5,7,3,1,1,3,90,29,6,3,1,3,1,1
,5/7/13,1,15,5,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/8/13,1,15,5,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/9/13,1,15,5,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/10/13,1,15,5,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/11/13,1,14,6,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/12/13,1,14,6,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/13/13,1,14,6,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/14/13,1,14,6,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/15/13,1,14,6,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/16/13,1,14,6,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/17/13,1,14,6,7,3,1,1,3,91,29,6,3,1,3,1,1
,5/18/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/19/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/20/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/21/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/22/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/23/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/24/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/25/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/26/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/27/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/28/13,1,14,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/29/13,1,15,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/30/13,1,15,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,5/31/13,1,15,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,6/1/13,1,15,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,6/2/13,1,15,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,6/3/13,1,15,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,6/4/13,1,15,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,6/5/13,1,15,6,7,3,1,1,3,93,29,6,3,1,3,1,1
,6/6/13,1,15,6,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/7/13,1,15,6,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/8/13,1,15,6,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/9/13,1,15,6,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/10/13,1,15,6,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/11/13,,16,6,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/12/13,,16,6,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/13/13,,16,8,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/14/13,,16,8,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/15/13,,16,8,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/16/13,,16,8,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/17/13,,16,8,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/18/13,,16,8,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/19/13,,16,8,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/20/13,,16,8,7,3,1,1,3,94,30,6,3,1,3,1,1
,6/21/13,,16,8,7,3,1,1,3,95,30,6,3,1,3,1,1
,6/22/13,,16,8,7,3,1,1,3,95,30,6,3,1,3,1,1
,6/23/13,,16,8,7,3,1,1,3,95,30,6,3,1,3,1,1
,6/24/13,,16,8,7,3,1,1,3,95,30,6,3,1,3,1,1
,6/25/13,,16,8,7,3,1,1,3,95,30,6,3,1,3,1,1
,6/26/13,,16,8,7,3,1,1,3,95,30,6,3,1,3,1,1
,6/27/13,,16,8,7,3,1,1,3,95,30,6,3,1,3,1,1
,6/28/13,,16,8,7,3,1,1,3,96,30,6,3,1,3,1,1
,6/29/13,,16,8,7,3,1,1,3,96,30,6,3,1,3,1,1
,6/30/13,,16,8,7,3,1,1,3,96,30,6,3,1,3,1,1
,7/1/13,,16,8,7,3,1,1,3,96,30,6,3,1,3,1,1
,7/2/13,,16,8,7,3,1,1,3,96,30,6,3,1,3,1,1
,7/3/13,,16,8,7,3,1,1,3,96,30,6,3,1,3,1,1
,7/4/13,,16,8,7,3,1,1,3,96,30,6,3,1,3,1,1
,7/5/13,,16,8,7,3,1,1,3,98,30,6,3,1,3,1,1
,7/6/13,,16,8,7,3,1,1,3,98,30,6,3,1,3,1,1
,7/7/13,,16,8,7,3,1,1,3,98,30,6,3,1,3,1,1
,7/8/13,,16,8,7,3,1,1,3,99,30,6,3,1,3,1,1
,7/9/13,,16,8,7,3,1,1,3,99,30,6,3,1,3,1,1
,7/10/13,,16,8,7,3,1,1,3,99,30,6,3,1,3,1,1
,7/11/13,,16,8,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/12/13,,16,8,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/13/13,,16,8,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/14/13,,16,8,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/15/13,,16,8,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/16/13,,16,8,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/17/13,,16,8,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/18/13,,16,8,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/19/13,,16,9,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/20/13,,16,9,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/21/13,,16,9,7,3,1,1,3,100,30,6,3,1,3,1,1
,7/22/13,,16,9,7,3,1,1,3,99,30,6,3,1,3,1,1
,7/23/13,,16,9,7,3,1,1,3,99,30,6,3,1,3,1,1
,7/24/13,,16,9,7,3,1,1,3,99,30,6,3,1,3,1,1
,7/25/13,,16,9,7,3,1,1,3,100,30,6,3,1,4,1,1
,7/26/13,,16,9,7,3,1,1,3,99,30,6,3,1,4,1,1
,7/27/13,,16,9,7,3,1,1,3,99,30,6,3,1,4,1,1
,7/28/13,,16,9,7,3,1,1,3,100,30,6,3,1,4,1,1
,7/29/13,,16,9,7,3,1,1,3,100,30,6,3,1,4,1,1
,7/30/13,,16,9,7,3,1,1,3,99,31,6,3,1,4,1,1
,7/31/13,,16,8,8,3,1,1,3,98,31,6,3,1,4,1,1
,8/1/13,,16,8,8,3,1,1,3,99,31,6,3,1,4,1,1
,8/2/13,,16,8,8,3,1,1,3,99,31,6,3,1,4,1,1
,8/3/13,,16,8,8,3,1,1,3,98,31,6,3,1,4,1,1
,8/4/13,,16,8,8,3,1,1,3,98,31,6,3,1,4,1,1
,8/5/13,,16,8,8,3,1,1,3,99,31,6,3,1,4,1,1
,8/6/13,,,,,,,,,,,,,,,,
,8/7/13,,,,,,,,,,,,,,,,
