"Source","Target","Weight"
"BLACK CAT/FELICIA HA","LEEDS, BETTY BRANT",22
"CLOUD","ANGEL/WARREN KENNETH",22
"IRON MAN/TONY STARK ","STORM/ORORO MUNROE S",22
"PSI-LORD/FRANKLIN BE","HUMAN TORCH/JOHNNY S",21
"CLOUD","MOONDRAGON/HEATHER D",21
"ELLIS, KEN","JAMESON, J. JONAH",21
"TOMBSTONE/LONNIE THO","WATSON-PARKER, MARY ",21
"TOMBSTONE/LONNIE THO","ROBERTSON, JOE",21
"STACY, ARTHUR","STACY, JILL",21
"IRON MAN/TONY STARK ","THUNDERSTRIKE/ERIC K",21
"STACY, PAUL","SPIDER-MAN/PETER PAR",21
"HINDSIGHT LAD/CARLTO","FIRESTAR/ANGELICA JO",21
"STACY, ARTHUR","WATSON-PARKER, MARY ",20
"DAYTRIPPER/AMANDA SE","STORM/ORORO MUNROE S",20
"GATEWAY","STORM/ORORO MUNROE S",20
"GATEWAY","PSYLOCKE/ELISABETH B",20
"SLOAN, DR.","SPIDER-MAN/PETER PAR",20
"ELLIS, KEN","SPIDER-MAN/PETER PAR",20
"BANSHEE/SEAN CASSIDY","ROGUE /",20
"CLARK, JOHN","ROM, SPACEKNIGHT",20
"ELLIS, KEN","ROBERTSON, JOE",19
"SPIDER-MAN CLONE/BEN","PARKER, MAY",19
"IRON MAN/TONY STARK ","ENCHANTRESS/AMORA/HE",19
"TRAINER, DR. SEWARD","SPIDER-MAN/PETER PAR",19
"CLARK, SARAH","CLARK, JOHN",19
"CLARK, JOHN","CLARK, SARAH",19
"FU MANCHU","RESTON, CLIVE",19
"CLARK, SARAH","ROM, SPACEKNIGHT",19
"CLARK, JOHN","STARSHINE II/BRANDY ",19
"RESTON, CLIVE","FU MANCHU",19
"SPIDER-MAN CLONE/BEN","URICH, BEN",18
"SPIDER-MAN CLONE/BEN","LEEDS, BETTY BRANT",18
"MUGGINS, MAMIE","ROBERTSON, JOE",18
"VENOM/EDDIE BROCK","PARKER, MAY",18
"DAYTRIPPER/AMANDA SE","PROFESSOR X/CHARLES ",18
"IRON MAN/TONY STARK ","NORRISS, SISTER BARB",18
"MR. SINISTER/NATHAN ","CYCLOPS/SCOTT SUMMER",18
"MR. SINISTER/NATHAN ","MARVEL GIRL/JEAN GRE",18
"DAYTRIPPER/AMANDA SE","WOLVERINE/LOGAN ",18
"GATEWAY","ROGUE /",18
"CLARK, JOHN","JACKSON, STEVE",18
"FU MANCHU","WU, LEIKO",18
"CLARK, SARAH","STARSHINE II/BRANDY ",18
"BLACK CAT/FELICIA HA","KINGPIN/WILSON FISK",17
"STACY, CAPT. GEORGE","PARKER, MAY",17
"UNION JACK/LORD MONT","CAPTAIN AMERICA",17
"UNION JACK II/BRIAN ","CAPTAIN AMERICA",17
"SPEEDBALL II/DARRION","NOVA/RICHARD RIDER",17
"HINDSIGHT LAD/CARLTO","NOVA/RICHARD RIDER",17
"IRON MAN/TONY STARK ","NOVA/RICHARD RIDER",17
"UNION JACK II/BRIAN ","SUB-MARINER/NAMOR MA",17
"MR. SINISTER/NATHAN ","ROGUE /",17
"CLARK, SARAH","JACKSON, STEVE",17
"CLOUD","SOUTHERN, CANDY",16
"MUGGINS, MAMIE","WATSON-PARKER, MARY ",16
"TRAINER, DR. SEWARD","WATSON-PARKER, MARY ",16
"ELLIS, KEN","WATSON-PARKER, MARY ",16
"STACY, PAUL","WATSON-PARKER, MARY ",16
"BULLSEYE II/BENJAMIN","KINGPIN/WILSON FISK",16
"BANNON, LANCE","LEEDS, BETTY BRANT",16
"STACY, CAPT. GEORGE","ROBERTSON, JOE",16
"IRON MAN/TONY STARK ","ROSS, GEN. THADDEUS ",16
"IRON MAN/TONY STARK ","BANNER, BETTY ROSS T",16
"IRON MAN/TONY STARK ","CARPENTER, RACHEL",16
"IRON MAN/TONY STARK ","CARTER, SHARON",16
"MR. SINISTER/NATHAN ","STORM/ORORO MUNROE S",16
"IRON MAN/TONY STARK ","UATU",16
"STACY, GWEN (CLONE)","SPIDER-MAN/PETER PAR",16
"UNION JACK/LORD MONT","SUB-MARINER/NAMOR MA",16
"MUGGINS, MAMIE","JAMESON, J. JONAH",15
"STACY, ARTHUR","JAMESON, J. JONAH",15
"STACY, PAUL","STACY, JILL",15
"JACKAL/MILES WARREN","PARKER, MAY",15
"GATEWAY","JUBILEE/JUBILATION L",15
"MR. SINISTER/NATHAN ","WOLVERINE/LOGAN ",15
"IRON MAN/TONY STARK ","GALACTUS/GALAN",15
"IRON MAN/TONY STARK ","NAMORITA/NITA PRENTI",15
"RICHARDS, NATHANIEL","SUB-MARINER/NAMOR MA",15
"VIBRAXAS/N'KANO","HUMAN TORCH/JOHNNY S",14
"DEVLOR","HUMAN TORCH/JOHNNY S",14
"LIZARD/DR. CURTIS CO","HUMAN TORCH/JOHNNY S",14
"MUGGINS, MAMIE","THOMPSON, EUGENE FLA",14
"ELLIS, KEN","URICH, BEN",14
"IRON MAN/TONY STARK ","MACHINE MAN/X-51",14
"SPIDER-MAN CLONE/BEN","WATSON, ANNA",14
"RAVEN, LT. JACOB","WATSON-PARKER, MARY ",14
"SHA SHAN","LEEDS, BETTY BRANT",14
"STACY, CAPT. GEORGE","LEEDS, BETTY BRANT",14
"JACKAL/MILES WARREN","LEEDS, BETTY BRANT",14
"ELLIS, KEN","LEEDS, BETTY BRANT",14
"JACKAL/MILES WARREN","ROBERTSON, JOE",14
"LIZARD/DR. CURTIS CO","PARKER, MAY",14
"MUGGINS, MAMIE","PARKER, MAY",14
"BANNON, LANCE","PARKER, MAY",14
"IRON MAN/TONY STARK ","BLACK BOLT/BLACKANTO",14
"MR. SINISTER/NATHAN ","PSYLOCKE/ELISABETH B",14
"TRAVELLER, DR. JUDAS","SPIDER-MAN/PETER PAR",14
"RAVEN, LT. JACOB","SPIDER-MAN/PETER PAR",14
"ARMBRUSTER, COLONEL ","HULK/DR. ROBERT BRUC",14
"LIZARD/DR. CURTIS CO","DR. OCTOPUS/OTTO OCT",13
"TRAVELLER, DR. JUDAS","WATSON-PARKER, MARY ",13
"STACY, GWEN (CLONE)","WATSON-PARKER, MARY ",13
"SHA SHAN","ROBERTSON, JOE",13
"LIZARD/DR. CURTIS CO","ROBERTSON, JOE",13
"IRON MAN/TONY STARK ","LOCKJAW [INHUMAN]",13
"IRON MAN/TONY STARK ","NIGHTHAWK II/KYLE RI",13
"BARON BLOOD II/VICTO","DR. STRANGE/STEPHEN ",13
"LIZARD/DR. CURTIS CO","THOR/DR. DONALD BLAK",13
"IRON MAN/TONY STARK ","LIVING LASER/ARTHUR ",13
"MR. SINISTER/NATHAN ","BEAST/HENRY &HANK& P",13
"TOMBSTONE/LONNIE THO","PUNISHER II/FRANK CA",13
"PSI-LORD/FRANKLIN BE","INVISIBLE WOMAN/SUE ",13
"PSI-LORD/FRANKLIN BE","THING/BENJAMIN J. GR",13
"LIZARD/DR. CURTIS CO","CAPTAIN AMERICA",13
"LIZARD/DR. CURTIS CO","HAWK",13
"SPIDER-MAN CLONE/BEN","JUSTICE II/VANCE AST",13
"LIZARD/DR. CURTIS CO","IRON MAN IV/JAMES R.",13
"PSI-LORD/FRANKLIN BE","BLACK PANTHER/T'CHAL",13
"DEVLOR","BLACK PANTHER/T'CHAL",13
"CREED, GRAYDON","ICEMAN/ROBERT BOBBY ",12
"BANNON, LANCE","URICH, BEN",12
"BLACK CAT/FELICIA HA","URICH, BEN",12
"KAINE","JAMESON, J. JONAH",12
"STACY, CAPT. GEORGE","WATSON-PARKER, MARY ",12
"STACY, GWEN","KINGPIN/WILSON FISK",12
"LIZARD/DR. CURTIS CO","PROFESSOR X/CHARLES ",12
"DOMINO III/BEATRICE/","PROFESSOR X/CHARLES ",12
"IRON MAN/TONY STARK ","TRITON",12
"ARMBRUSTER, COLONEL ","ROSS, GEN. THADDEUS ",12
"ARMBRUSTER, COLONEL ","BANNER, BETTY ROSS T",12
"AGAMOTTO","DR. STRANGE/STEPHEN ",12
"IRON MAN/TONY STARK ","SPYMASTER/JAKE JORDA",12
"LIZARD/DR. CURTIS CO","CYCLOPS/SCOTT SUMMER",12
"LIZARD/DR. CURTIS CO","THING/BENJAMIN J. GR",12
"MR. SINISTER/NATHAN ","ANGEL/WARREN KENNETH",12
"RICHARDS, NATHANIEL","MR. FANTASTIC/REED R",12
"LIZARD/DR. CURTIS CO","MR. FANTASTIC/REED R",12
"LIZARD/DR. CURTIS CO","STORM/ORORO MUNROE S",12
"LIZARD/DR. CURTIS CO","GALACTUS/GALAN",12
"LIZARD/DR. CURTIS CO","WASP/JANET VAN DYNE ",12
"FORTUNATO, GIACOMO J","SPIDER-MAN/PETER PAR",12
"HINDSIGHT LAD/CARLTO","NIGHT THRASHER/DUANE",12
"LIZARD/DR. CURTIS CO","HULK/DR. ROBERT BRUC",12
"SPEEDBALL II/DARRION","NAMORITA/NITA PRENTI",12
"SPIDER-MAN CLONE/BEN","FIRESTAR/ANGELICA JO",12
"LIZARD/DR. CURTIS CO","ROGUE /",12
"BANNON, LANCE","GRANT, GLORIA GLORY",11
"JACKAL/MILES WARREN","THOMPSON, EUGENE FLA",11
"ZELDA","ICEMAN/ROBERT BOBBY ",11
"TRAINER, DR. SEWARD","JAMESON, J. JONAH",11
"SHA SHAN","WATSON-PARKER, MARY ",11
"MUGGINS, MAMIE","LEEDS, BETTY BRANT",11
"KAINE","ROBERTSON, JOE",11
"STACY, ARTHUR","ROBERTSON, JOE",11
"STACY, PAUL","STACY, ARTHUR",11
"SPIDER-MAN CLONE/BEN","VENOM/EDDIE BROCK",11
"STACY, ARTHUR","STACY, PAUL",11
"BANSHEE/SEAN CASSIDY","CORBEAU, DR. PETER",11
"BANSHEE/SEAN CASSIDY","JUGGERNAUT/CAIN MARK",11
"IRON MAN/TONY STARK ","WARLOCK II/ADAM WARL",11
"IRON MAN/TONY STARK ","GORGON [INHUMAN]",11
"MANSLAUGHTER","NORRISS, SISTER BARB",11
"DAYTRIPPER/AMANDA SE","CYCLOPS/SCOTT SUMMER",11
"ZELDA","BEAST/HENRY &HANK& P",11
"IRON MAN/TONY STARK ","DEATH",11
"MALICE IV","STORM/ORORO MUNROE S",11
"MALICE IV","PSYLOCKE/ELISABETH B",11
"LIZARD/DR. CURTIS CO","SHE-HULK/JENNIFER WA",11
"LIZARD/DR. CURTIS CO","WOLVERINE/LOGAN ",11
"WARD, SEN. STEWART","SPIDER-MAN/PETER PAR",11
"LIZARD/DR. CURTIS CO","THUNDERBALL/DR. ELIO",11
"MALICE IV","ROGUE /",11
"IRON MAN/TONY STARK ","ROGUE /",11
"CLARK, JOHN","TORPEDO III/BROCK JO",11
"STACY, GWEN","DR. OCTOPUS/OTTO OCT",10
"STACY, ARTHUR","GRANT, GLORIA GLORY",10
"LIZARD/DR. CURTIS CO","THOMPSON, EUGENE FLA",10
"TOMBSTONE/LONNIE THO","JAMESON, J. JONAH",10
"STACY, CAPT. GEORGE","WATSON, ANNA",10
"STACY, ARTHUR","WATSON, ANNA",10
"FOREIGNER/RAFAEL BAS","WATSON-PARKER, MARY ",10
"TREVANE, DET. CONNOR","WATSON-PARKER, MARY ",10
"GARTH, DONNA","ZOMBIE/SIMON GARTH",10
"ZOMBIE/SIMON GARTH","GARTH, DONNA",10
"WARD, SEN. STEWART","STACY, JILL",10
"BLACK CAT/FELICIA HA","VENOM/EDDIE BROCK",10
"MIMIC/CALVIN RANKIN","PROFESSOR X/CHARLES ",10
"IRON MAN/TONY STARK ","KARNAK [INHUMAN]",10
"INTERLOPER","NORRISS, SISTER BARB",10
"LIZARD/DR. CURTIS CO","ENCHANTRESS/AMORA/HE",10
"PROTOCIDE/PRIVATE CL","CARTER, SHARON",10
"MACHETE/FERDINAND LO","BATROC/GEORGES BATRO",10
"DOMINO III/BEATRICE/","CYCLOPS/SCOTT SUMMER",10
"INTERLOPER","ANDROMEDA/ANDROMEDA ",10
"DOMINO III/BEATRICE/","STORM/ORORO MUNROE S",10
"CREED, GRAYDON","MARVEL GIRL/JEAN GRE",10
"DOMINO III/BEATRICE/","MARVEL GIRL/JEAN GRE",10
"IRON MAN/TONY STARK ","PSYLOCKE/ELISABETH B",10
"CREED, GRAYDON","WOLVERINE/LOGAN ",10
"MIMIC/CALVIN RANKIN","WOLVERINE/LOGAN ",10
"MALICE IV","WOLVERINE/LOGAN ",10
"PROTOCIDE/PRIVATE CL","CAPTAIN AMERICA",10
"MORGAN","CAPTAIN AMERICA",10
"OGRE","HAWK",10
"HOCHBERG, ROGER","SPIDER-MAN/PETER PAR",10
"TREVANE, DET. CONNOR","SPIDER-MAN/PETER PAR",10
"HINDSIGHT LAD/CARLTO","NAMORITA/NITA PRENTI",10
"PSI-LORD/FRANKLIN BE","SUB-MARINER/NAMOR MA",10
"PRENTISS, BETTY DEAN","SUB-MARINER/NAMOR MA",10
"CLARK, SARAH","TORPEDO III/BROCK JO",10
"BLACK CAT/FELICIA HA","DR. OCTOPUS/OTTO OCT",9
"SHA SHAN","GRANT, GLORIA GLORY",9
"BANNON, LANCE","THOMPSON, EUGENE FLA",9
"VENOM/EDDIE BROCK","THOMPSON, EUGENE FLA",9
"MR. SINISTER/NATHAN ","ICEMAN/ROBERT BOBBY ",9
"GREEN GOBLIN IV/PHIL","URICH, BEN",9
"BULLSEYE II/BENJAMIN","URICH, BEN",9
"SHA SHAN","JAMESON, J. JONAH",9
"RAVEN, LT. JACOB","JAMESON, J. JONAH",9
"VENOM/EDDIE BROCK","JAMESON, J. JONAH",9
"LIZARD/DR. CURTIS CO","ULTRON",9
"FORTUNATO, GIACOMO J","WATSON-PARKER, MARY ",9
"IRON MAN/TONY STARK ","WATSON-PARKER, MARY ",9
"SHA SHAN","KINGPIN/WILSON FISK",9
"BANNON, LANCE","KINGPIN/WILSON FISK",9
"LIZARD/DR. CURTIS CO","LEEDS, BETTY BRANT",9
"STACY, ARTHUR","LEEDS, BETTY BRANT",9
"FOREIGNER/RAFAEL BAS","ROBERTSON, JOE",9
"GREEN GOBLIN IV/PHIL","ROBERTSON, JOE",9
"VENOM/EDDIE BROCK","ROBERTSON, JOE",9
"IRON MAN/TONY STARK ","ROBERTSON, JOE",9
"STACY, ARTHUR","PARKER, MAY",9
"IRON MAN/TONY STARK ","PARKER, MAY",9
"MR. SINISTER/NATHAN ","PROFESSOR X/CHARLES ",9
"RICHARDS, NATHANIEL","GORGON [INHUMAN]",9
"BANSHEE/SEAN CASSIDY","MASTERMIND/JASON WYN",9
"SILVER DAGGER/ISAIAH","DR. STRANGE/STEPHEN ",9
"ZELDA","CYCLOPS/SCOTT SUMMER",9
"MANSLAUGHTER","ANDROMEDA/ANDROMEDA ",9
"BANSHEE/SEAN CASSIDY","THING/BENJAMIN J. GR",9
"ZELDA","ANGEL/WARREN KENNETH",9
"BANSHEE/SEAN CASSIDY","MR. FANTASTIC/REED R",9
"MOREAU, DAVID","STORM/ORORO MUNROE S",9
"ZELDA","MARVEL GIRL/JEAN GRE",9
"MOJO","PSYLOCKE/ELISABETH B",9
"MOJO","WOLVERINE/LOGAN ",9
"GREEN GOBLIN III/BAR","SPIDER-MAN/PETER PAR",9
"GREEN GOBLIN IV/PHIL","SPIDER-MAN/PETER PAR",9
"OVERRIDE/DR. GREGORY","SPIDER-MAN/PETER PAR",9
"SPEEDBALL II/DARRION","NIGHT THRASHER/DUANE",9
"IRON MAN/TONY STARK ","SPEEDBALL/ROBBIE BAL",9
"SPITFIRE/LADY JACQUE","NAMORITA/NITA PRENTI",9
"DAYTRIPPER/AMANDA SE","ROGUE /",9
"IRON MAN/TONY STARK ","GHOST",9
"BLACK CAT/FELICIA HA","HUMAN TORCH/JOHNNY S",8
"VENOM/EDDIE BROCK","HUMAN TORCH/JOHNNY S",8
"MANSLAUGHTER","INTERLOPER",8
"INTERLOPER","MANSLAUGHTER",8
"SPIDER-MAN CLONE/BEN","GRANT, GLORIA GLORY",8
"SPIDER-MAN CLONE/BEN","THOMPSON, EUGENE FLA",8
"TOMBSTONE/LONNIE THO","URICH, BEN",8
"FOREIGNER/RAFAEL BAS","JAMESON, J. JONAH",8
"TREVANE, DET. CONNOR","JAMESON, J. JONAH",8
"JACKAL/MILES WARREN","WATSON, ANNA",8
"GREEN GOBLIN IV/PHIL","WATSON-PARKER, MARY ",8
"BYRNES, GAYLE WATSON","WATSON-PARKER, MARY ",8
"STACY, CAPT. GEORGE","KINGPIN/WILSON FISK",8
"FOREIGNER/RAFAEL BAS","LEEDS, BETTY BRANT",8
"VENOM/EDDIE BROCK","LEEDS, BETTY BRANT",8
"BLESSING, MORGANA","MORBIUS/DR. MICHAEL ",8
"TREVANE, DET. CONNOR","ROBERTSON, JOE",8
"RAVEN, LT. JACOB","ROBERTSON, JOE",8
"WARD, SEN. STEWART","PARKER, MAY",8
"RICHARDS, NATHANIEL","KARNAK [INHUMAN]",8
"RICHARDS, NATHANIEL","BLACK BOLT/BLACKANTO",8
"D'SPAYRE","NIGHTMARE/EDVARD HAB",8
"MORGAN","CARTER, SHARON",8
"CREED, GRAYDON","BEAST/HENRY &HANK& P",8
"MIMIC/CALVIN RANKIN","BEAST/HENRY &HANK& P",8
"VIBRAXAS/N'KANO","THING/BENJAMIN J. GR",8
"WORTHINGTON, KATHRYN","ANGEL/WARREN KENNETH",8
"IRON MAN/TONY STARK ","ETERNITY/ADAM QADMON",8
"CREED, GRAYDON","STORM/ORORO MUNROE S",8
"MOREAU, DAVID","WOLVERINE/LOGAN ",8
"TRICKSHOT","HAWK",8
"KINGSLEY, DANIEL","SPIDER-MAN/PETER PAR",8
"ALRAUNE, MARLENE","SPIDER-MAN/PETER PAR",8
"BYRNES, GAYLE WATSON","SPIDER-MAN/PETER PAR",8
"RED RAVEN","SUB-MARINER/NAMOR MA",8
"IRON MAN/TONY STARK ","BLOB/FRED J. DUKES",8
"IRON MAN/TONY STARK ","MAN-THING/THEODORE T",8
"IRON MAN/TONY STARK ","CARNIVORE/COUNT ANDR",8
"IRON MAN/TONY STARK ","GARGOYLE II/ISAAC CH",7
"BLACK CAT/FELICIA HA","GRANT, GLORIA GLORY",7
"TOMBSTONE/LONNIE THO","GRANT, GLORIA GLORY",7
"STACY, ARTHUR","URICH, BEN",7
"GREEN GOBLIN III/BAR","JAMESON, J. JONAH",7
"STACY, GWEN (CLONE)","JAMESON, J. JONAH",7
"GREEN GOBLIN IV/PHIL","JAMESON, J. JONAH",7
"STACY, PAUL","WATSON, ANNA",7
"OVERRIDE/DR. GREGORY","WATSON-PARKER, MARY ",7
"MANOLIS, LT. NICK","KINGPIN/WILSON FISK",7
"TOMBSTONE/LONNIE THO","KINGPIN/WILSON FISK",7
"BARON BLOOD II/VICTO","MORBIUS/DR. MICHAEL ",7
"TRAINER, DR. SEWARD","ROBERTSON, JOE",7
"STACY, GWEN (CLONE)","ROBERTSON, JOE",7
"FORTUNATO, GIACOMO J","STACY, JILL",7
"VENOM/EDDIE BROCK","STACY, JILL",7
"KAINE","PARKER, MAY",7
"CREED, GRAYDON","PROFESSOR X/CHARLES ",7
"ZELDA","PROFESSOR X/CHARLES ",7
"BLADE","DR. STRANGE/STEPHEN ",7
"BANSHEE/SEAN CASSIDY","COOPER, DR. VALERIE",7
"LIZARD/DR. CURTIS CO","SPIDER-WOMAN II/JULI",7
"IRON MAN/TONY STARK ","HEIMDALL [ASGARDIAN]",7
"BILLUPS, AGENT","CARTER, SHARON",7
"CREED, GRAYDON","CYCLOPS/SCOTT SUMMER",7
