,Site.ID,Stratum,Latitude,Longitude,Index,Salinity,Silt
127,89/90-1,107,39.0842,-76.3142,1,9.7,96.7
128,89/90-1,107,39.0948,-76.4077,3.8,6.4,96.7
129,89/90-1,107,39.0917,-76.2948,1,7.3,95.8
130,89/90-2,107,39.14,-76.3313,1.8,10,96.5
131,89/90-2,107,39.065,-76.3053,3,8,86.1
132,89/90-2,107,39.0503,-76.3163,3,5.5,83.8
133,90/91-1,107,39.1437,-76.3913,4.2,5,52
134,90/91-1,107,39.1095,-76.293,1,6.9,93.8
135,90/91-1,107,39.1435,-76.319,1.8,8.3,94.5
136,90/91-2,107,39.0917,-76.3585,3.4,6.3,80
137,90/91-2,107,39.0418,-76.3518,1.4,12.7,71.6
138,90/91-2,107,39.0548,-76.3233,1.8,5.9,79.7
139,91/92-1,107,39.1027,-76.29,1,8.4,93.6
140,91/92-1,107,39.1293,-76.3917,3.4,6.7,91.6
141,91/92-1,107,39.0758,-76.3688,3.4,6.7,82.1
142,91/92-2,107,39.0953,-76.3507,3,6.5,93.8
143,91/92-2,107,39.083,-76.3375,3,8,89.1
144,91/92-2,107,39.1353,-76.3645,2.6,5.9,91.3
145,92/93-1,107,39.1025,-76.3385,3.67,6.6,94.8
146,92/93-1,107,39.0667,-76.317,3.67,9.1,92.2
147,92/93-1,107,39.0582,-76.3382,1.67,12.5,93.1
148,89/90-1,108,39.2883,-76.2017,4.5,3.5,86.2
149,89/90-1,108,39.268,-76.2855,4,8.4,98.1
150,89/90-1,108,39.252,-76.3322,3.5,6,92.1
151,89/90-2,108,39.2683,-76.3128,4.5,3.6,97.4
152,89/90-2,108,39.2308,-76.3187,4.5,6.5,97.2
153,89/90-2,108,39.2582,-76.2813,4.5,6.5,95.4
154,90/91-1,108,39.2848,-76.2377,4.5,7,79.9
155,90/91-1,108,39.2327,-76.3723,2,4.2,94.8
156,90/91-1,108,39.2282,-76.2458,3,9.5,77.3
157,90/91-2,108,39.2563,-76.272,2.5,7.3,75.6
158,90/91-2,108,39.2345,-76.2388,1,11.5,86.1
159,90/91-2,108,39.2743,-76.2073,2.5,5.2,60.5
160,91/92-1,108,39.2248,-76.3175,4,5.8,69.6
161,91/92-1,108,39.2197,-76.2765,4.5,5.5,84.3
162,91/92-1,108,39.237,-76.3707,3.5,4.4,98.2
163,91/92-2,108,39.289,-76.24,5,7.1,83.6
164,91/92-2,108,39.2282,-76.2485,4,4.3,79.9
165,92/93-1,108,39.2827,-76.253,1,7.2,95.4
166,92/93-1,108,39.279,-76.22,4,4.8,71.5
167,92/93-1,108,39.2632,-76.2787,4,3.7,92.6
168,89/90-1,109,39.4602,-76.0348,3.4,2.8,30.3
169,89/90-1,109,39.4608,-76.0122,1.8,5.4,85.6
170,89/90-1,109,39.4455,-75.9893,5,5,83.8
171,89/90-2,109,39.4375,-76.0285,2.2,6,76.4
172,89/90-2,109,39.4257,-76.0652,4.6,3.5,27
173,89/90-2,109,39.4128,-76.0357,2.2,11.5,73.5
174,90/91-1,109,39.4173,-76.0717,5,3,46.6
175,90/91-1,109,39.44,-76.0432,4.6,3.6,31.4
176,90/91-1,109,39.4883,-75.9432,3,11.9,33.9
177,90/91-2,109,39.4333,-76.0413,4.6,4,29.5
178,90/91-2,109,39.4595,-76.0322,2.6,2.9,53.3
179,90/91-2,109,39.4053,-76.1095,4.6,2.8,70.2
180,91/92-1,109,39.4283,-76.0675,4.2,3.3,29.5
181,91/92-1,109,39.4228,-76.086,3,3.7,73.8
182,91/92-1,109,39.384,-76.0592,2.6,3.9,92.9
183,91/92-2,109,39.3815,-76.0583,2.6,3.1,89.5
184,91/92-2,109,39.3992,-76.0542,5,7.1,49.7
185,91/92-2,109,39.3858,-76.0705,5,4.8,88.7
186,92/93-1,109,39.4153,-76.0593,5,2.6,68.5
187,92/93-1,109,39.4052,-76.077,5,3.7,77.2
188,92/93-1,109,39.3842,-76.0592,5,3.1,91.4
189,89/90-1,110,38.1547,-76.3303,2.67,3.2,2.8
190,89/90-1,110,38.1035,-76.3257,2.67,2.7,1.1
191,89/90-1,110,38.0518,-76.3428,3,3.2,22.5
192,89/90-2,110,38.0523,-76.3597,3.33,2.7,1.8
193,89/90-2,110,38.0818,-76.327,2,2.1,1.5
194,89/90-2,110,38.0617,-76.3252,2,2.4,10.7
195,90/91-1,110,38.0742,-76.3272,4.33,2.4,57
196,90/91-1,110,38.0813,-76.3268,3,1.8,1.2
197,90/91-1,110,38.0523,-76.3203,3.33,2.5,2.4
198,90/91-2,110,38.0748,-76.3185,3,2.1,1.7
199,90/91-2,110,38.1235,-76.3187,2.33,2.3,2.4
200,90/91-2,110,38.0523,-76.3193,2.67,2.8,3.9
201,91/92-1,110,38.101,-76.3265,2.33,2.8,2.1
202,91/92-1,110,38.1493,-76.3182,3,2.8,1.7
203,91/92-1,110,38.1278,-76.3132,2.67,2.6,2
204,91/92-2,110,38.1417,-76.3127,2.67,2.6,0.6
205,91/92-2,110,38.1228,-76.3233,2.67,3.3,41.2
206,91/92-2,110,38.0708,-76.3228,3,3.2,73.3
207,92/93-1,110,38.0567,-76.3625,2.33,1.8,1.5
208,92/93-1,110,38.0852,-76.324,4.33,2.4,2
209,92/93-1,110,38.1473,-76.3167,4.33,2.1,1.5
210,89/90-1,111,38.0108,-76.3902,1,11.3,92.3
211,89/90-1,111,38.0438,-76.2758,1.67,11.3,42.5
212,89/90-1,111,38.0892,-76.2068,1,18.9,89.5
213,89/90-2,111,38.1198,-76.2265,1,35.3,92.4
214,89/90-2,111,38.1567,-76.2308,1.67,32.8,89.9
215,89/90-2,111,38.1565,-76.2473,1.67,14.2,67.3
216,90/91-1,111,38.1415,-76.213,1,15.4,74.2
217,90/91-1,111,38.037,-76.3607,1,13.4,70.6
218,90/91-1,111,38.1355,-76.2533,1,12.7,23.6
219,90/91-2,111,38.0928,-76.223,1,19,94.1
220,90/91-2,111,38.0213,-76.2583,1.33,11.4,77
221,90/91-2,111,38.1458,-76.2325,1,29.7,93.5
222,91/92-1,111,38.094,-76.279,1,11.4,71.1
223,91/92-1,111,38.0018,-76.2043,1.33,22.4,10.4
224,91/92-1,111,38.1268,-76.2675,1,12.8,50
225,91/92-2,111,38.1368,-76.2577,1.67,13.6,53.4
226,91/92-2,111,38.1578,-76.2785,1.67,13.6,76.2
227,91/92-2,111,38.0882,-76.2723,2.33,12.4,86.8
228,92/93-1,111,38.0535,-76.1993,1,13.8,86
229,92/93-1,111,38.0052,-76.2868,1.5,11.6,88.8
230,92/93-1,111,38.016,-76.237,1.5,12.6,94
231,89/90-1,113,38.1792,-76.7338,1,7.6,0
232,89/90-1,113,38.2027,-76.6958,1,9.7,89
233,89/90-1,113,38.2,-76.815,1,7.2,93.2
234,89/90-2,113,38.2013,-76.7003,1,10.1,85.3
235,89/90-2,113,38.2148,-76.819,1,7.2,94.6
236,89/90-2,113,38.197,-76.8205,1,6.7,93.6
237,90/91-1,113,38.1748,-76.8493,1.8,5.4,87.4
238,90/91-1,113,38.2018,-76.8245,1,6.3,97.2
239,90/91-1,113,38.1862,-76.8452,1.8,5.8,0
240,90/91-2,113,38.1752,-76.8017,1.4,6.8,92.4
241,90/91-2,113,38.2077,-76.7853,1,11.2,88.1
242,90/91-2,113,38.1888,-76.8117,1.4,6.8,85
243,91/92-1,113,38.1992,-76.7658,1,11.9,92.9
244,91/92-1,113,38.1797,-76.8445,1,6,92.4
245,91/92-1,113,38.1802,-76.8487,1.4,6,97.9
246,91/92-2,113,38.19,-76.8125,1.4,7.3,97.5
247,91/92-2,113,38.1857,-76.8292,1.8,7,94.6
248,91/92-2,113,38.2065,-76.7173,1.8,11.3,47.2
249,92/93-1,113,38.1698,-76.8302,1,5.2,91
250,92/93-1,113,38.1957,-76.8048,1.67,6.7,90
251,92/93-1,113,38.224,-76.8042,1.67,8.6,76.2
252,89/90-1,115,38.3492,-76.9885,4,7,87
253,89/90-1,115,38.3815,-77.0007,2.5,9.3,91.7
254,89/90-1,115,38.3867,-76.996,1,17.7,92.4
255,89/90-2,115,38.2785,-76.9732,4,5.6,89.3
256,89/90-2,115,38.3138,-76.9803,4.5,7.5,87.8
257,89/90-2,115,38.2798,-76.97,4,6.6,94.2
258,90/91-1,115,38.329,-76.975,4.5,5.5,79.7
259,90/91-1,115,38.3473,-76.9907,4,17.1,94.5
260,90/91-1,115,38.3513,-76.9903,4,16,95.4
261,90/91-2,115,38.324,-76.9908,4.5,14.6,83.9
262,90/91-2,115,38.3387,-76.9853,4,13.7,22.2
263,90/91-2,115,38.3313,-76.992,3,23.3,94.3
264,91/92-1,115,38.393,-77.013,4.5,6.1,88.8
265,91/92-1,115,38.3055,-76.9812,4,7.1,92.4
266,91/92-1,115,38.2935,-76.9642,1,8.5,87.1
267,91/92-2,115,38.3122,-76.9558,4.5,6.1,87
268,91/92-2,115,38.3133,-76.9757,3.5,7.1,83.6
269,91/92-2,115,38.3733,-76.9917,1.5,19.8,53.3
270,92/93-1,115,38.3848,-77.0043,4,8.1,92.7
271,92/93-1,115,38.3207,-76.9517,4,5,92
272,92/93-1,115,38.324,-76.944,4,5.3,92
273,89/90-1,116,38.3853,-77.2962,4.6,3.7,96.9
274,89/90-1,116,38.4462,-77.277,4.6,8.6,94.3
275,89/90-1,116,38.3683,-77.2647,4.2,5,96
276,89/90-2,116,38.3778,-77.1565,4.2,8.6,92.4
277,89/90-2,116,38.5195,-77.2873,4.6,9.3,92.8
278,89/90-2,116,38.3743,-77.2907,4.6,4.2,84
279,90/91-1,116,38.4518,-77.3013,4.2,2.9,97.8
280,90/91-1,116,38.3712,-77.1402,5,13.8,91.3
281,90/91-1,116,38.4372,-77.3077,1.8,2.5,86.1
282,90/91-2,116,38.4215,-77.3077,3.8,3.2,96.7
283,90/91-2,116,38.4588,-77.2737,1.8,8.2,92.8
284,90/91-2,116,38.352,-77.2002,2.2,11.8,96.7
285,91/92-1,116,38.3667,-77.2748,4.6,4.1,77.7
286,91/92-1,116,38.3467,-77.1962,4.2,7.5,97.2
287,91/92-1,116,38.379,-77.2958,4.6,3.3,92.4
288,91/92-2,116,38.3467,-77.2078,4.2,8.6,81.8
289,91/92-2,116,38.4382,-77.3157,4.6,3.4,92.6
290,91/92-2,116,38.37,-77.2775,4.2,4.9,94.7
291,92/93-1,116,38.4933,-77.275,4,6.9,96.3
292,92/93-1,116,38.4477,-77.2675,5,4.8,97.3
293,92/93-1,116,38.3643,-77.1742,4,6.3,96.4
294,89/90-1,117,38.7422,-77.0435,5,2.8,93.8
295,89/90-1,117,38.6927,-77.083,5,2.7,79.5
296,89/90-1,117,38.7783,-77.0407,5,3.1,75.8
297,89/90-2,117,38.6587,-77.1308,5,2.1,93.5
298,89/90-2,117,38.7827,-77.0317,5,1.9,90.5
299,89/90-2,117,38.6462,-77.1217,5,1.8,96.7
300,90/91-1,117,38.7832,-77.0295,5,2.4,86.5
301,90/91-1,117,38.7007,-77.0705,5,7.6,79.3
302,90/91-1,117,38.6743,-77.1267,5,2.3,56.6
303,90/91-2,117,38.7002,-77.0678,5,10.5,86.7
304,90/91-2,117,38.704,-77.0515,5,18,73
305,90/91-2,117,38.7758,-77.0378,5,7.4,12.9
306,91/92-1,117,38.7072,-77.0467,5,16.4,70.2
307,91/92-1,117,38.6607,-77.132,5,4.3,71.5
308,91/92-1,117,38.669,-77.1245,5,2,66.5
309,91/92-2,117,38.6982,-77.0633,5,14.2,90
310,91/92-2,117,38.756,-77.0333,5,8,84
311,91/92-2,117,38.6923,-77.1108,5,8.1,69.7
312,92/93-1,117,38.7167,-77.0357,5,9.5,78.7
313,92/93-1,117,38.6368,-77.1282,5,5.7,89.9
314,92/93-1,117,38.6773,-77.1217,5,2.1,74.7
315,89/90-1,119,38.6388,-76.168,3.8,9.3,76.5
316,89/90-1,119,38.6578,-76.2145,3.4,7.4,77.5
317,89/90-1,119,38.6723,-76.2608,3.8,5.8,91.1
318,89/90-2,119,38.6348,-76.1965,2.2,6,25
319,89/90-2,119,38.639,-76.2262,2.2,7.3,63.5
320,89/90-2,119,38.6637,-76.2093,3.4,6,63.2
321,90/91-1,119,38.6682,-76.2603,4.2,5.8,83.3
322,90/91-1,119,38.6467,-76.2832,3.4,8.6,87.3
323,90/91-1,119,38.675,-76.2822,3.8,4.3,69.1
324,90/91-2,119,38.6223,-76.2092,4.2,4.6,69.9
325,90/91-2,119,38.6558,-76.2763,3.4,7.6,68.7
326,90/91-2,119,38.6508,-76.2238,3,7.4,74.5
327,91/92-1,119,38.6563,-76.2883,4.6,7,85.3
328,91/92-1,119,38.6642,-76.2925,4.2,9.6,69
329,91/92-1,119,38.645,-76.192,4.2,11.9,90.9
330,91/92-2,119,38.6532,-76.1775,3.8,6.8,76.8
331,91/92-2,119,38.6495,-76.2267,4.2,8.3,75.7
332,91/92-2,119,38.6703,-76.2358,3.8,6.1,84.4
333,92/93-1,119,38.6635,-76.276,5,6.4,84.9
334,92/93-1,119,38.6725,-76.2843,3.67,5.6,82.7
335,92/93-1,119,38.631,-76.198,5,6.2,50.8
336,89/90-1,120,38.6782,-75.9537,3,4.7,88.1
337,89/90-1,120,38.5885,-76.0137,3.5,3.3,31.1
338,89/90-1,120,38.5957,-76.0737,3,3.9,81.9
339,89/90-2,120,38.5788,-76.0163,1,3,74.9
340,89/90-2,120,38.6312,-75.9872,1,3.5,93.5
341,89/90-2,120,38.652,-75.959,3,7.5,88.5
342,90/91-1,120,38.5915,-76.0743,1.5,8.8,84.7
343,90/91-1,120,38.5842,-75.989,1.5,1.9,83.5
344,90/91-1,120,38.6633,-75.9577,4,3.6,82.8
345,90/91-2,120,38.571,-76.05,2.5,10.1,92.7
346,90/91-2,120,38.6218,-75.9745,4,2,84.1
347,90/91-2,120,38.586,-76.0685,1,9.1,91.6
348,91/92-1,120,38.5815,-76.0652,2,10.3,93.7
349,91/92-1,120,38.6688,-75.9525,4,6,93.4
350,91/92-1,120,38.6123,-75.9788,2,2.7,74.3
351,91/92-2,120,38.6557,-75.955,2.5,3.7,89.8
352,91/92-2,120,38.6185,-75.9867,4,5.6,92.2
353,91/92-2,120,38.6017,-75.9853,4.5,14.8,90.9
354,92/93-1,120,38.5963,-76.0717,1,5,76
355,92/93-1,120,38.576,-76.0192,3,5.6,26.7
356,92/93-1,120,38.576,-76.0487,3,4,86
357,89/90-1,121,38.7782,-75.9565,3.8,6.8,82.2
358,89/90-1,121,38.7617,-75.9848,4.2,5.6,70.5
359,89/90-1,121,38.7833,-75.9428,1,5.7,81.2
360,89/90-2,121,38.7658,-75.9877,3,5,84.5
361,89/90-2,121,38.769,-75.9747,2.6,7.8,72.8
362,89/90-2,121,38.779,-75.9668,4.2,1.5,86
363,90/91-1,121,38.7805,-75.965,4.2,7.4,88.8
364,90/91-1,121,38.761,-75.9563,1.8,9.6,77.1
365,90/91-1,121,38.78,-75.9625,1.8,3.2,73.2
366,90/91-2,121,38.8038,-75.9082,2.6,4.3,71.8
367,90/91-2,121,38.7597,-75.9738,2.6,4.9,62.8
368,90/91-2,121,38.8045,-75.9047,2.6,6.9,53
369,91/92-1,121,38.7618,-75.9848,2.2,5.9,81.5
370,91/92-1,121,38.7968,-75.9318,4.6,8.3,84
371,91/92-1,121,38.7912,-75.9348,2.2,6.5,89.9
372,91/92-2,121,38.763,-75.981,3.8,5.5,86.4
373,91/92-2,121,38.7618,-75.9887,3.8,4.7,87.2
374,91/92-2,121,38.807,-75.91,2.6,4.8,85.9
375,92/93-1,121,38.8117,-75.9,5,7.1,89.1
376,92/93-1,121,38.7642,-75.9795,4,5.3,89.4
377,92/93-1,121,38.7612,-75.9907,4,3.2,95.6
378,89/90-1,122,39.1065,-76.1272,5,3.3,76.7
379,89/90-1,122,39.0692,-76.1998,5,4.5,68.2
380,89/90-1,122,38.9992,-76.1917,1,11.7,17.3
381,89/90-2,122,39.0845,-76.1743,3,6.7,96.4
382,89/90-2,122,39.0083,-76.1978,3,4.5,52.9
383,89/90-2,122,38.9887,-76.2073,1,2,61.8
384,90/91-1,122,39.0953,-76.1587,2,8.6,87.6
385,90/91-1,122,39.0612,-76.1882,1,4.6,0
386,90/91-1,122,39.0752,-76.1893,3,3.4,92.5
387,90/91-2,122,39.0258,-76.187,1.5,4.7,78.4
388,90/91-2,122,39.0167,-76.193,3,4,67.5
389,90/91-2,122,39.0735,-76.1677,2.5,3.4,83.6
390,91/92-1,122,39.1012,-76.1445,4,9,93.4
391,91/92-1,122,39.0853,-76.1528,3,5,79.2
392,91/92-1,122,39.0737,-76.1863,2.5,5.6,91.2
393,91/92-2,122,39.0828,-76.1608,1.5,2.8,78.5
394,91/92-2,122,39.0577,-76.2035,3.5,6.2,61.6
395,91/92-2,122,38.99,-76.206,1,18.2,93.9
396,92/93-1,122,38.9905,-76.2217,3,16.4,96.4
397,92/93-1,122,39.0525,-76.1928,1,5.9,81.8
398,92/93-1,122,39.0615,-76.1963,3,5.6,94
399,89/90-1,123,39.161,-76.0565,1,6.1,85.2
400,89/90-1,123,39.1792,-76.0482,4,3.1,95.6
401,89/90-1,123,39.1918,-76.0718,1.5,4.8,33.8
402,89/90-2,123,39.1432,-76.0807,3.5,9,96.3
403,89/90-2,123,39.1612,-76.0595,3.5,4.5,85.8
404,89/90-2,123,39.1595,-76.058,4.5,4.5,86.9
405,90/91-1,123,39.1758,-76.0403,2.5,6,93
406,90/91-1,123,39.191,-76.0717,3.5,3.1,73.4
407,90/91-1,123,39.1608,-76.0543,4.5,5.1,79.4
408,90/91-2,123,39.1837,-76.0597,4.5,6,80.5
409,90/91-2,123,39.1803,-76.0495,4,2.6,94.8
410,90/91-2,123,39.1415,-76.0762,1,2.1,83.8
411,91/92-1,123,39.1512,-76.078,4.5,7.4,81.8
412,91/92-1,123,39.1313,-76.075,4.5,15,92.4
413,91/92-1,123,39.1542,-76.0708,4.5,5.5,93.6
414,91/92-2,123,39.1965,-76.0682,4,6,87.8
415,91/92-2,123,39.1477,-76.082,4.5,7.5,92.8
416,91/92-2,123,39.159,-76.0582,3,4.5,91.9
417,92/93-1,123,39.1805,-76.0497,5,3.7,89.6
418,92/93-1,123,39.1572,-76.0575,3,5.9,95.7
419,92/93-1,123,39.1653,-76.045,3,3.9,96.3
420,89/90-1,124,39.1735,-76.481,3.5,4.2,62.6
421,89/90-1,124,39.1792,-76.4845,2.5,4.3,90.1
422,89/90-1,124,39.1722,-76.4948,3.5,3.5,95.7
423,89/90-2,124,39.1702,-76.4952,1.5,4,90.7
424,89/90-2,124,39.1768,-76.5167,2,4.5,94.4
425,89/90-2,124,39.2062,-76.5217,1.5,5.5,91.6
426,90/91-1,124,39.178,-76.4875,3.5,3.4,83
427,90/91-1,124,39.1992,-76.5095,3,5.6,78.4
428,90/91-1,124,39.1845,-76.5003,4.5,3.6,80.3
429,90/91-2,124,39.1698,-76.4907,3,4.5,97.8
430,90/91-2,124,39.2127,-76.5292,1,7.8,77.4
431,90/91-2,124,39.1915,-76.505,1.5,5.5,78.3
432,91/92-1,124,39.194,-76.5222,2,3.9,78.2
433,91/92-1,124,39.186,-76.4807,4.5,4.3,86.1
434,91/92-1,124,39.198,-76.509,1,5.6,98.9
435,91/92-2,124,39.1787,-76.4967,1,4.9,94.7
436,91/92-2,124,39.1857,-76.4702,1,5,91.2
437,91/92-2,124,39.1938,-76.5223,2,4.3,98
438,92/93-1,124,39.1718,-76.484,1,3.9,97.1
439,92/93-1,124,39.1902,-76.4977,2,4,74.5
440,92/93-1,124,39.1927,-76.5148,1,4.1,62
441,89/90-1,125,39.2267,-76.5093,4.5,2.4,54.7
442,89/90-1,125,39.2217,-76.5015,1,5.4,93.5
443,89/90-1,125,39.2218,-76.5083,1,3,71.8
444,89/90-2,125,39.245,-76.4937,1,3,90.3
445,89/90-2,125,39.2267,-76.5003,1,4,91.9
446,89/90-2,125,39.2418,-76.4952,1,2.5,86.4
447,90/91-1,125,39.2462,-76.494,1,2.9,84.9
